username,game_url,game_index,event_index,opportunity_cp,target_pawns,t_turns_engine,converted_actual,t_turns_actual,opponent_move_ply_index,opponent_move_san,opponent_move_uci,best_reply_san,best_reply_uci,fen_before,fen_after,pv_moves,pv_evals,eval_before,white_player,black_player,player_color,time_control,game_result,end_time
k2f4x,Chess.com,4,6,200,2,21,0,,106,Kf4,g3f4,Qb8+,b3b8,8/6k1/6p1/5pB1/7P/1q3BK1/8/8 w - - 4 54,8/6k1/6p1/5pB1/5K1P/1q3B2/8/8 b - - 5 54,b3b8|f4e3|b8g3|e3e2|f5f4|f3a8|g3e3|e2f1|e3d3|f1f2|d3e3|f2f1|e3c1|f1g2|c1b2|g2f3|b2a3|f3f4|a3a8|f4e5|a8a4,-520|-478|-535|-553|-597|-614|-609|-541|-597|-589|-700|-608|-633|-575|-593|-560|-606|-568|-604|-636|-604,-493,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,4,7,349,3,9,0,,110,Kf4,g3f4,Qf2,f1f2,8/6k1/6p1/5pB1/7P/5BK1/8/5q2 w - - 8 56,8/6k1/6p1/5pB1/5K1P/5B2/8/5q2 b - - 9 56,f1f2|h4h5|f2d2|f4e5|d2g5|h5g6|g7g6|f3c6|g5e3,-710|-701|-694|-623|-684|-651|-695|-699|-644,-656,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,4,8,121,1,3,0,,118,Bf4,g5f4,Qxh4,e1h4,8/5k2/6p1/5pB1/7P/5K2/4B3/4q3 w - - 16 60,8/5k2/6p1/5p2/5B1P/5K2/4B3/4q3 b - - 17 60,e1h4|f4e3|g6g5,-574|-631|-580,-560,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,5,0,108,1,37,1,33,39,Kc5,d6c5,b4+,b3b4,3rr3/pp3ppp/2pk4/3Pp3/2P1P3/1P1K4/P5PP/4R2R b - - 2 20,3rr3/pp3ppp/2p5/2kPp3/2P1P3/1P1K4/P5PP/4R2R w - - 3 21,b3b4|c5b6|a2a4|b6c7|h1f1|f7f6|g2g4|a7a5|e1b1|h7h5|g4g5|e8f8|g5g6|d8d7|b4b5|d7d8|b5b6|c7c8|d3e2|c8d7|c4c5|d8c8|b1d1|c8d8|f1f3|c6d5|e4d5|f6f5|f3h3|d8c8|d1c1|f8f6|h3h5|f6g6|h5f5|c8h8|f5f7,112|117|123|101|110|117|112|112|110|132|122|117|140|151|151|136|178|187|190|252|242|225|249|187|237|235|256|224|217|231|288|286|311|343|403|425|458,115,k2f4x,thebudknightx,white,180,1-0,2026.01.10 19:04:45
k2f4x,Chess.com,5,1,583,5,5,0,,77,Rb2+,b1b2,Kg3,f2g3,4r3/6Pp/2pPk3/1pP1p3/4P2P/5R2/5K2/1r3R2 b - - 6 39,4r3/6Pp/2pPk3/1pP1p3/4P2P/5R2/1r3K2/5R2 w - - 7 40,f2g3|b2b3|f3b3|e8g8|g3h3,1190|748|806|853|1105,1044,k2f4x,thebudknightx,white,180,1-0,2026.01.10 19:04:45
k2f4x,Chess.com,6,0,233,2,3,1,21,12,b4,b2b4,Bxa1,g7a1,rn1qk1nr/1bpp1pbp/pp2p1p1/8/P3P3/3P1N2/1PP1BPPP/RNBQ1RK1 w kq - 0 7,rn1qk1nr/1bpp1pbp/pp2p1p1/8/PP2P3/3P1N2/2P1BPPP/RNBQ1RK1 b kq - 0 7,g7a1|c2c3|a6a5,-184|-202|-197,-197,ridvaneren,k2f4x,black,180,0-1,2026.01.10 19:08:01
k2f4x,Chess.com,6,1,353,3,3,1,19,14,c4,c2c4,Bxa1,g7a1,rn1qk2r/1bppnpbp/pp2p1p1/8/PP2P3/3P1N2/2P1BPPP/RNBQ1RK1 w kq - 1 8,rn1qk2r/1bppnpbp/pp2p1p1/8/PPP1P3/3P1N2/4BPPP/RNBQ1RK1 b kq - 0 8,g7a1|d3d4|b7e4,-324|-332|-357,-344,ridvaneren,k2f4x,black,180,0-1,2026.01.10 19:08:01
k2f4x,Chess.com,6,2,196,1,5,1,3,28,exd5,e4d5,Bxd4,g7d4,rn1q1rk1/1b2npbp/1p4p1/p2p4/Pp1BP3/3P1N2/R3BPPP/1N1Q1RK1 w - - 0 15,rn1q1rk1/1b2npbp/1p4p1/p2P4/Pp1B4/3P1N2/R3BPPP/1N1Q1RK1 b - - 0 15,g7d4|f3d4|b7d5|d4b3|b8c6,-424|-419|-415|-415|-424,-420,ridvaneren,k2f4x,black,180,0-1,2026.01.10 19:08:01
k2f4x,Chess.com,6,3,250,2,3,1,3,30,Be3,d4e3,Bxa2,d5a2,rn1q1rk1/4npbp/1p4p1/p2b4/Pp1B4/3P1N2/R3BPPP/1N1Q1RK1 w - - 0 16,rn1q1rk1/4npbp/1p4p1/p2b4/Pp6/3PBN2/R3BPPP/1N1Q1RK1 b - - 1 16,d5a2|b1d2|b8c6,-624|-623|-597,-619,ridvaneren,k2f4x,black,180,0-1,2026.01.10 19:08:01
k2f4x,Chess.com,6,4,154,1,7,0,,48,Rc1,f1c1,Bh6,g7h6,2r2rk1/2q2pbp/1p4p1/p7/P2P4/1pN1PB2/3Q2PP/5RK1 w - - 3 25,2r2rk1/2q2pbp/1p4p1/p7/P2P4/1pN1PB2/3Q2PP/2R3K1 b - - 4 25,g7h6|g1h1|f8e8|c1f1|c7c3|d2d1|c8d8,-644|-726|-725|-803|-772|-742|-719,-638,ridvaneren,k2f4x,black,180,0-1,2026.01.10 19:08:01
